id,departure,total_dis,total_time,total_len,avg_dis,avg_speed,sid,eid
9d01ee28607660af0f5655e4ced4fe1e,0,353.3437213,58,1226.485486,204.4142477,24.35262739,0,0
fdda4cd449dc55d1850bfe190cef016a,0,111.9811589,439,111.9811589,111.9811589,0.255082367,1,1
00acdfb2cfba98fb70c8062c99ca07d8,0,411.7269115,316,494.1000056,164.7000019,9.38855849,2,2
b48d3882396e498774aaadea88347d64,0,44.4113058,768,44.4113058,22.2056529,0.030755752,3,3
4631181a78cf5e27e4772ce2e43deccb,0,14.49960153,768,205.0933187,41.01866373,0.446308095,4,4
df7874846e298d79a60a5448fe49378a,0,21.61066703,111,21.61066703,7.203555678,0.150074077,5,5
2764a52cc8af21ca2eacbe76a7507b83,0,0,51,0,0,0,6,6
e6c5be17a89643c9f8b8cf29b8176a70,0,25.87429801,536,809.6321316,134.9386886,5.336065693,7,7
ef3e765ec977418d5047ca784564adfc,0,0,10,129.5789125,64.78945625,35.99414236,6,6
f0f32c5990ad252e6140a7fdf08a2ecc,0,190.5281713,34,479.8559838,239.9279919,15.75045791,8,8
ae257b9cb76e39c5857102ce3a5a3545,0,29.90465934,16,31.02466314,15.51233157,2.195680981,9,9
03f5ab1711d80e0c6e769d3623f1f503,0,44.52200012,1189,314.7808658,22.48434756,4.311128887,3,10
8c3b35b3df828ae8f9895df70da8f1a6,0,0,253,0,0,0,7,11
68f006a872923180ec0c7d8c4d470ad7,0,0,10,0,0,0,10,12
fb5ca4427af5e0725b253d9b197c312f,0,19.21665778,810,466.9084067,233.4542034,0.830430926,11,13
d9060927646ca6c67f68d70cbe5b3906,0,14.90813135,8,14.90813135,14.90813135,1.863516419,12,14
09a79063a281dd7500ce1ac486c4c424,0,5.866946547,156,5.866946547,1.466736637,0.244456106,13,4
09468405f3007f0f8e43898088173f50,0,0,57,0,0,0,14,15
05fec871a862233d16974a6568b1a1de,0,57.80767809,568,880.4786068,55.02991293,1.707935427,1,16
044daa77f4ab59c20caf7403e9cbb3d6,0,22.05569212,5,27.63254338,13.81627169,9.285214382,2,17
2867218f92e05cf88421dd0ee8593430,0,5.627075444,449,5.627075444,0.803867921,0.003127891,15,18
66f1b5241f6d9de622b1457dad9123fa,0,92.15835369,55,92.15835369,92.15835369,1.675606431,16,19
9ea817ec31b5833ccefe0db5ecc8d1b3,0,0,139,0,0,0,17,20
6a1bcfffda4fbe3286c002898ea0375b,0,103.3898259,327,1010.370913,126.2963641,4.576043613,18,21
e596171eb5520524264e705847074eb6,0,12.49401632,366,12.49401632,6.24700816,0.031235041,19,9
2c0df4309124db8f771bc566d4af6cf2,0,30.03728044,287,30.03728044,30.03728044,0.104659514,4,22
ceb49949b685be400ed7c62933fb132f,0,246.8803803,1,246.8803803,246.8803803,246.8803803,20,23
4cb1da14b2b19ada29107eee0988d332,0,13.08683851,11,13.08683851,13.08683851,1.189712592,21,24
e9ef8d53cbe99d971ee788f638ae94cb,0,74.20103867,611,305.759076,25.479923,7.473943938,3,3
1bd9cee85615129ab8607a149cbfdb3d,0,19.06643091,71,187.1181239,62.37270796,3.073919334,22,25
f66fff2a46e17ba6945827d6a1c97d97,0,8.278646268,1416,1864.035352,19.41703492,5.252854344,23,19
8a4cf29ab0eb7c5bd4f9c7670c48757b,0,14.44497141,14,14.44497141,14.44497141,1.031783672,24,3
caba67871734709a4cc7ee331b7d31b6,0,7.821039208,1203,7.821039208,2.607013069,0.002298953,3,10
0ce3e2cfb979f74c63cf08e2e16a979a,0,26.41266869,16,26.41266869,26.41266869,1.650791793,25,26
1c6152670e90224acc86d71b123c742f,0,10.58084586,112,10.58084586,10.58084586,0.094471838,26,27
dc54ca5e1ab49c40c5e02012daf7ef45,0,3.841567472,573,362.6861809,51.81231155,1.6737555,27,28
d71197ebd4313b501ae865b5d6fbcbae,0,0,93,0,0,0,17,20
d527604e7373fd44248fb43296a233ab,0,9.868277191,105,9.868277191,9.868277191,0.093983592,28,29
fccbbf246cd8094e40a5689e6e8d011d,0,0,82,0,0,0,15,18
e320c5e3d858231413177f5c50927ff7,0,21.66550315,814,884.1320717,88.41320717,3.108586576,29,30
a2f01ca25c650b01f1e26564b5cbbe2c,0,0,412,0,0,0,30,31
fb0ee45697310a7ea04fa1fb28e14a1d,0,7.821039208,900,7.821039208,1.955259802,0.00294911,3,10
8d299d9065dd985a494fa41f72b0458a,0,0,284,0,0,0,31,32
5235677a7d277b8250db1616615a168a,0,78.09302164,5,78.09302164,78.09302164,15.61860433,32,17
